label,label_reason,query,rank,rrf_score,title,agencies_affected,subject_matter,full_chunk_text
,,DHS and DOS coordination policies for consular processing during COVID,4,0.029710,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes","[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]","8 The Federal Register Notice stated that parolees may apply for re-parole, which would be adjudicated and may be approved on a case-by-case basis, by filing Form I-131 and “must demonstrate urgent humanitarian reasons or significant public benefit specific to his or her case and that he or she merits a favorable exercise of discretion for parole[.]” Termination of Family Reunification Parole Processes, 90 Fed. Reg. at 58043. Case 1:25-cv-10495-IT Document 258 Filed 01/25/26 Page 6 of 42 7 Id. The Federal Register Notice acknowledged further that the programs sought to promote family unity by providing a faster pathway for United States citizens and lawful permanent residents to reunite with family members while awaiting availability of their immigrant visas. Id. DHS acknowledged “that aliens paroled into the United States under the FRP programs may have been able to reunite with family members in the United States.” Id. DHS concluded, however, that “that national security and fraud concerns, and the current Administration’s priorities outweigh[ed] those interests” and supported termination. Id. As to national security, the Federal Register Notice compared the FRP Programs’ vetting process to that of individuals pursuing lawful permanent resident status through consular processing. Id. In the latter case, applicants’ consular processing requires “an in-person interview outside the United States, and submission of various documents to establish the necessary family relationship with the petitioner[,]” while still outside of the United States."
,,DHS and DOS coordination policies for consular processing during COVID,5,0.029670,DOL proposes new collection form for employers seeking to employ H-2B nonimmigrant workers,"[""Unspecified/Other""]","[""Unspecified/Other""]","The Secretary determined that limiting returning workers to those who were issued an H-2B visa or granted H-2B status in the past 3 fiscal years was appropriate, as it mirrored the standard that Congress designated in previous returning worker provisions. Although Congress provided the Secretary of Homeland Security with the discretionary authority to increase the H-2B cap in FY 2020, the Secretary did not exercise that authority. DHS initially intended to exercise its authority and, on March 4, 2020, announced that it would make available 35,000 supplemental H-2B visas for the second half of the fiscal year. On March 13, 2020, President Trump declared a National Emergency concerning COVID-19, a communicable disease caused by the coronavirus SARS-CoV-2. On April 2, 2020, DHS announced that the rule to increase the H-2B cap was on hold due to economic circumstances, and that DHS would not release additional H-2B visas until further notice. DHS also noted that the Department of State had suspended routine visa services. In FY 2021, DHS in consultation with DOL determined it was appropriate to increase the H-2B cap for FY 2021 coupled with additional protections (for example, post-adjudication audits, investigations, and compliance checks), based on the demand for H-2B workers in the second half of FY 2021, continuing economic growth, the improving job market, and increased visa processing capacity by the Department of State. Accordingly, on May 25, 2021, DHS and DOL jointly published a TFR authorizing an increase of up to 22,000 additional H-2B visas for the remainder of FY 2021."
,,changes to H1B wage level rule and subsequent court vacatur,1,0.032787,DOL issues interim final rule on Adverse Effect Wage Rate for H-2A agricultural laborers,"[""Unspecified/Other""]","[""Unspecified/Other""]","99. The IFR—which governs the wages of H-2A workers—and its tiered system will significantly reduce the wages of H-2A workers, which in turn will likely result in similarly employed U.S. workers being paid materially less than they would have been under the regulatory regime preceding the IFR. For example, a job order with SOC 45-2092 for Farmworkers and Laborers, Crop, Nursery, and Greenhouse Occupational Title has an OEWS mean of $16.39 in North Carolina, a major H-2A user state. But the Skill Level I wage rate would be $12.78, a 22.03% drop. As another example, a shuttle driver in the Fort Myers area of Florida would have an average wage of $16.16 based on May 2024 OEWS data.88 However, the average wage decreases to $12.55 if the shuttle driver is designated Skill 1. If the majority of time is spent performing basic farm labor—which, under the primary duty rule, would result in a different SOC classification—the rate would be $12.47 if designated Skill Level I and $15.06 if designated Skill Level II. 87 Farm Labor, U.S. Dep’t of Agric. (Sept. 12, 2025), https://perma.cc/HSP4-Y3HC. 88 Occupational Employment and Wage Statistics Query System, U.S. Bureau of Lab. Stat. (Apr. 3, 2024), https://perma.cc/L2X2-35TZ. Case 1:25-cv-01614-KES-CDB Document 1 Filed 11/21/25 Page 31 of 46 32 COMPLAINT 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 100. These changes are exemplified by the chart below, reflecting information compiled by Cornell University, which shows how sweeping the decreases will be89: State Previous AEWR New AEWR for Domestic Employees in Corresponding Employment Adverse Compensation Adjustment New AEWR w/ Adverse Compensation Adjustment for H‐2A Skill Level I Skill Level II Skill Level I Skill Level II New York $18.83 $15.68* $18.75 ($2.40) $13.28* $16.35* (NYS minimum wage will apply in 2026: $16.00 in upstate and $17.00 in NYC/Long Island) (NYS minimum will apply in 2026: $16.00 in upstate and $17.00 in NYC/Long Island) (This wage will apply in upstate, NYC/Long Island will be required to pay the regional minimum wage of $17.00 in 2026) California $19.97 $16.45* $18.71 ($3.00) $13.45* $15.71* (CA minimum of $16.90 will apply effective Jan."
,,changes to H1B wage level rule and subsequent court vacatur,2,0.031258,USCIS issues final rule on public charge inadmissibility grounds,"[""U.S. Citizenship and Immigration Services""]","[""Unspecified/Other"", ""Unspecified/Other""]","In other words, Texas argues that aliens who would have been eligible for a status adjustment under the 1999 Guidance may have learned of the stricter 2019 Rule and chose not to apply, believing their applications would be denied. (See Dkt. No. 64 at 8). The Court is unpersuaded. First, this is speculative at best. Texas provides no evidence that the 2019 Rule resulted in fewer status changes. Rather, the evidence shows only the number of annual applications for status adjustment each year—not the total granted. Second, only “a subset of these individuals (i.e., those who are not exempt from the public charge ground of inadmissibility) [would have undergone] review for determination of inadmissibility based on public charge grounds.” Public Charge Ground of Inadmissibility, 87 Fed. Reg. at 55602. In other words, this data set includes an unspecified number of individuals who are not subject to a public charge determination. Since individuals who are not subject to public charge determinations can seek a change in status, an increase in the number of applications for status adjustment after the 2019 Rule vacatur—assuming those applications were granted—does not necessarily mean that the number of applicants subject to a public charge determination increased or will likely increase. Beyond the 2019 Rule vacatur, this data does not reflect the impact of the 2022 Rule change. In fact, the data Texas relies on covers the period before and after the 2019 Rule, Case 6:23-cv-00001 Document 70 Filed on 09/30/24 in TXSD Page 12 of 15"
,,changes to H1B wage level rule and subsequent court vacatur,3,0.030118,COVID-19: OFLC announces issuance of electronic PERM labor certifications,"[""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]","Implementation Schedule: On October 8, 2020, employers and their authorized attorneys or agents will be able to: Access revised OES prevailing wage data for each SOC and area of intended employment at https://www.flcdatacenter.com/; Use the Foreign Labor Application Gateway (FLAG) system to submit LCAs at https://flag.dol.gov/; and Continue to submit requests for prevailing wage determinations using the FLAG system. On October 13, 2020, the NPWC will begin issuing prevailing wage determinations using the revised OES prevailing wage data computed for the Interim Final Rule. This brief delay in issuing wage determinations is necessary to complete the required technical changes to the FLAG system's internal prevailing wage determination module and reduce the risk of unintended system problems or errors that may impact customers and OFLC staff. OFLC will continue to issue non-OES based prevailing wages (e.g. employer-provided surveys or collective bargaining agreements) without delay. September 30, 2020. OFLC Publishes Updated Wage Data for the Commonwealth of Northern Mariana Islands. The Office of Foreign Labor Certification (OFLC) received an updated wage survey from the Governor of the Commonwealth of Northern Mariana Islands (CNMI) for the CW-1 program. OFLC has approved the Governor’s survey for 402 occupations and will issue updated CW-1 prevailing wages using this data from September 30, 2020, through June 30, 2021. The updated wage table includes prevailing wage data for a total of 820 occupations."
,,changes to H1B wage level rule and subsequent court vacatur,4,0.029857,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling","[""Customs and Border Protection"", ""Immigration and Customs Enforcement"", ""U.S. Citizenship and Immigration Services"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]","2021), that the Immigration Court’s jurisdiction “vests upon the filing of an NTA, even one that does not at that time inform the alien of the time, date, and location of the hearing.” While this appeal was pending, the Supreme Court issued Niz-Chavez v. Garland, 141 S. Ct. 1474 (2021). Several of the amici contend that, in light of Niz-Chavez, our decisions in Matter of Bermudez-Cota and Matter of Rosales Vargas and Rosales Rosales can no longer stand. We disagree. Nothing in Niz-Chavez requires a different result. That case addressed whether an NTA that is deficient under Pereira for purposes of the stop-time rule can be cured by the subsequent service of a hearing notice that provides the required information. Niz-Chavez, 141 S. Ct. at 1479 (addressing “[w]hat qualifies as a notice to appear sufficient to trigger the stop-time rule?”). But neither Pereira nor Niz-Chavez purport to require termination of removal proceedings for lack of jurisdiction based on the absence of information required under section 239(a) of the Act. Like Pereira, Niz-Chavez addresses only the applicability of the stop-time rule—it is “the next chapter in the same story.” Id. at 1479 (addressing whether “the government must issue a single and comprehensive notice before it can trigger the stop-time rule.”) (emphasis added). The only question addressed by Niz-Chavez—whether an NTA that is statutorily deficient for purposes of the stop-time rule can be cured by the subsequent service of a notice containing the required information—is immaterial to jurisdiction."
,,changes to H1B wage level rule and subsequent court vacatur,5,0.029469,"AG Barr issues Matter of Thomas and Thompson, ruling on the immigration effect of modified criminal convictions","[""Attorney General"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]","§ 1101(a)(48) (emphasis added). An alien plainly has been convicted under the INA when a court has entered “a formal judgment of guilt,” and he has received a sentence when the court orders a “period of incarceration or confinement,” no matter whether that sentence is executed. The question then is whether the state court’s subsequent alteration of a “conviction” or a “sentence” changes those facts under the INA. Neither the INA nor the associated regulations provide further guidance on this point, but the statute’s history helps illuminate the meaning of the phrase. Congress amended the INA to define “conviction” following the Board’s decision in Matter of Ozkok, 19 I&N Dec. 546 (BIA 1988). There, the Board established a rule that “a conviction will be found for immigration purposes” where: (1) a judge or jury has found the alien guilty or he has entered a plea of guilty or nolo contendere or has admitted sufficient facts to warrant a finding of guilty; (2) the judge has ordered some form of punishment, penalty, or restraint on the person’s liberty to be imposed (including but not limited to incarceration, probation, a fine or restitution, or community-based sanctions such as a rehabilitation program, a work-release or study- release program, revocation or suspension of a driver’s license, deprivation of nonessential activities or privileges, or community service); and (3) a judgment or adjudication of guilt may be entered if the person violates the terms of his probation or fails to comply with the requirements of the court’s order, without availability of further proceedings regarding the person’s guilt or innocence of the original charge."
,,policy shifts in administrative closure authority EOIR and Attorney General decisions,1,0.031754,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes","[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]","218] (“Pls.’ Mem.”). Relatedly, Plaintiffs allege that the Secretary exceeded her authority by failing to adhere to statutory requirements. Id. at 14–16. Plaintiffs also challenge how the decision was communicated, alleging that notice to parolees was deficient. Id. at 17–18. And finally, Plaintiffs challenge the approach taken to promulgate the decision itself, claiming that such a decision could only be issued following a notice-andcomment period. Id. at 18–19. None of these challenges go to the Secretary’s ultimate decision to terminate parole. Instead, they speak to whether the steps taken to do so were proper. The statute is silent on whether the procedures employed by Secretary to terminate grants of parole are likewise left to the discretion of the Secretary. In Kucana v. Holder, 558 U.S. 233 (2010), in considering whether Section 1252(a)(2)(B)(ii) barred judicial review of an Case 1:25-cv-10495-IT Document 258 Filed 01/25/26 Page 13 of 42 14 administrative determination, the Supreme Court emphasized “a familiar principle of statutory construction: the presumption favoring judicial review of administrative action.” Id. at 251. “When a statute is ‘reasonably susceptible to divergent interpretation, [the Court] adopt[s] the reading that accords with traditional understandings and basic principles: that executive determinations generally are subject to judicial review.” Id. (internal quotations omitted). Pursuant to Kucana, the First Circuit has further held that “a statutory provision must expressly and specifically vest discretion in the Attorney General (for example, by explicitly using the words ‘in the discretion of the Attorney General’) rather than simply leave to the executive branch certain decisions and determinations that happen to be discretionary in nature.” ValerioRamirez v."
,,policy shifts in administrative closure authority EOIR and Attorney General decisions,2,0.030622,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling","[""Customs and Border Protection"", ""Immigration and Customs Enforcement"", ""U.S. Citizenship and Immigration Services"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]","The Seventh Circuit concluded that the Government fulfilled its obligations to provide the alien with notice because the notice to appear and the notice of hearing together vested the Immigration Judge with jurisdiction over his removal proceedings. With respect to the “stop-time” rule, the court determined that the rule was triggered “through receipt of both” forms of notice. Id. at 810. We agree with the Fifth, Seventh, Eighth, and Ninth Circuits that a two-step notice process is sufficient to meet the statutory notice requirements in section 239(a) of the Act. Accordingly, a notice to appear that does not specify the time and place of an alien’s initial removal hearing vests an Immigration Judge with jurisdiction over the removal proceedings and meets the requirements of section 239(a) of the Act, so long as a notice of hearing specifying this information is later sent to the alien. As noted, Pereira is distinguishable and did not address this issue. Because the respondent received proper notice of the time and place of his proceeding when he received the notice of hearing, his notice to appear was not defective. We will therefore deny his motion to terminate his proceedings. With regard to his appeal, the respondent challenges the Immigration Judge’s decision to deny his requests for administrative closure and a continuance. However, his arguments regarding administrative closure are foreclosed by the Attorney General’s decision in Matter of Castro-Tum, 27 I&N Dec. 271, 272 (A.G."
,,policy shifts in administrative closure authority EOIR and Attorney General decisions,3,0.030478,EOIR Director issues guidance to restrict continuances,"[""Executive Office for Immigration Review""]","[""Unspecified/Other""]","• EOIR has no policy mandating or requiring Immigration Judges to grant a continuance for any reason in any particular case or circumstance, except where a continuance is required by binding law. See PM 20-07, Case Management and Docketing Practices at 5 (Jan. 31, 2020). EOIR management does not possess authority to direct the result of an adjudication by an Immigration Judge by directing the Judge to grant or deny a continuance request in specific cases. • Consistent with former OPPM 17-01, continuances based on requests made by the U.S. Department of Homeland Security (DHS) should be comparatively rare. o Consistent with OPPM 05-03, Background and Security Investigations in proceedings Before Immigration Judges and the Board of Immigration Appeals (Mar. 28, 2005) and PM 21-06, Asylum Processing (Dec. 4, 2020), a failure by DHS to report on the completion and results of relevant investigations and examinations does not require a continuance of the hearing, though Immigration Judges may not grant certain applications until the results of those investigations and examinations have been reported. 8 C.F.R. § 1003.47.2 o Consistent with PM 20-07, EOIR has no policy requiring an Immigration Judge to grant a continuance if a DHS attorney does not appear for a hearing or does not possess that agency’s administrative file at the hearing. • The general standard for a continuance is good cause, 8 C.F.R. § 1003.29. By statute, however, “[i]n the absence of exceptional circumstances, final administrative adjudication of [an] asylum application, not including administrative appeal, shall be completed within 180 days after the date an application is filed.” INA § 208(d)(5)(A)(iii)."
