relevance,reason,query,rank,title
1,"Mentions DOS suspension of visa services and consular processing comparisons, but not direct DHS-DOS coordination policies for COVID consular processing.","DHS and DOS coordination policies for consular processing during COVID",4,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
2,"Discusses DOS suspension of routine visa services during COVID and coordination with DHS/DOL on visa processing.","DHS and DOS coordination policies for consular processing during COVID",5,"DOL proposes new collection form for employers seeking to employ H-2B nonimmigrant workers"
0,"H-2A wage rules are unrelated to H1B wage level rules or court vacatur.","changes to H1B wage level rule and subsequent court vacatur",1,"DOL issues interim final rule on Adverse Effect Wage Rate for H-2A agricultural laborers"
1,"Discusses public charge and adjustment rules, not H1B wage level rules specifically.","changes to H1B wage level rule and subsequent court vacatur",2,"USCIS issues final rule on public charge inadmissibility grounds"
2,"Directly references revised prevailing wage data and interim final rule implementation relevant to H1B wage rule changes.","changes to H1B wage level rule and subsequent court vacatur",3,"COVID-19: OFLC announces issuance of electronic PERM labor certifications"
0,"NTA jurisdiction and Pereira guidance are unrelated to H1B wage rules.","changes to H1B wage level rule and subsequent court vacatur",4,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling"
0,"Criminal conviction modification precedent is unrelated to H1B wage level rules.","changes to H1B wage level rule and subsequent court vacatur",5,"AG Barr issues Matter of Thomas and Thompson, ruling on the immigration effect of modified criminal convictions"
1,"Touches on judicial review and executive discretion, but not administrative closure authority specifically.","policy shifts in administrative closure authority EOIR and Attorney General decisions",1,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
3,"Directly discusses denial of administrative closure requests under Castro-Tum.","policy shifts in administrative closure authority EOIR and Attorney General decisions",2,"EOIR issues guidance on Pereira v. Sessions, announcing changes in NTA filings and case scheduling"
2,"Directly addresses continuance standards and EOIR case management authority.","policy shifts in administrative closure authority EOIR and Attorney General decisions",3,"EOIR Director issues guidance to restrict continuances"
0,"OMB funding pauses are unrelated to administrative closure authority.","policy shifts in administrative closure authority EOIR and Attorney General decisions",4,"OMB temporarily pauses agency grant, loan, and financial assistance programs"
0,"Domestic violence asylum precedent is unrelated to administrative closure authority.","policy shifts in administrative closure authority EOIR and Attorney General decisions",5,"AG Bondi issues Matter of S-S-F-M-, restricting asylum claims based on domestic violence"
2,"Discusses USCIS discretion guidance in adjudications, somewhat related to deference in H1B adjudications.","USCIS deference policy to prior approvals H1B adjudications changes",1,"USCIS updates policy on applying discretion in adjudications"
1,"Touches on benefits adjudications and vetting, but not prior approval deference policy.","USCIS deference policy to prior approvals H1B adjudications changes",2,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
0,"Credible fear interview timing changes are unrelated to H1B adjudication deference.","USCIS deference policy to prior approvals H1B adjudications changes",3,"Asylum seekers given less time to prepare for credible fear interviews"
0,"Deferred action biographic form revisions are unrelated to H1B adjudication deference.","USCIS deference policy to prior approvals H1B adjudications changes",4,"USCIS proposes changes to Form G-325A, Biographic Information (for Deferred Action)"
1,"Public charge policy affects adjustment adjudications generally, not H1B deference specifically.","USCIS deference policy to prior approvals H1B adjudications changes",5,"USCIS issues final rule on public charge inadmissibility grounds"
0,"PRWORA benefits interpretations are unrelated to SIJS eligibility requirements.","evolution of SIJS eligibility interpretations and state court dependency requirements",1,"HHS issues notice excluding undocumented immigrants from additional federal benefits"
0,"Employment verification litigation is unrelated to SIJS dependency findings.","evolution of SIJS eligibility interpretations and state court dependency requirements",2,"DOJ sues Illinois over ""Right to Privacy in the Workplace Act"" amendments"
1,"Discusses agency adjudicatory discretion broadly, but not SIJS specifically.","evolution of SIJS eligibility interpretations and state court dependency requirements",3,"AG Barr issues Matter of Thomas and Thompson, ruling on the immigration effect of modified criminal convictions"
1,"USCIS discretion standards may indirectly affect SIJS adjudications, but not dependency interpretations.","evolution of SIJS eligibility interpretations and state court dependency requirements",4,"USCIS updates policy on applying discretion in adjudications"
0,"Parole termination and expedited removal interpretations are unrelated to SIJS.","evolution of SIJS eligibility interpretations and state court dependency requirements",5,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
1,"Adjustment eligibility guidance may indirectly involve employment authorization.","policy changes governing employment authorization for pending adjustment applicants",1,"EOIR issues guidance on adjustment of status eligibility for certain Liberians under the NDAA"
3,"Directly discusses discretionary employment authorization under 8 CFR 274a.12(c) and Form I-765.","policy changes governing employment authorization for pending adjustment applicants",2,"USCIS updates policy on applying discretion in adjudications"
2,"References adjustment applicants with temporary employment authorization categories.","policy changes governing employment authorization for pending adjustment applicants",3,"HUD orders immediate citizenship-verification for tenants in HUD-funded housing"
1,"Touches on adjustment adjudications and discretionary benefits, but not employment authorization policy specifically.","policy changes governing employment authorization for pending adjustment applicants",4,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
1,"Public charge rules affect adjustment applicants generally, not employment authorization specifically.","policy changes governing employment authorization for pending adjustment applicants",5,"USCIS issues final rule on public charge inadmissibility grounds"
2,"Discusses CBP expedited removal screening and processing guidance.","CBP expedited inspection and secondary inspection policy guidance updates",1,"DHS Secretary ratifies interim final rule on Asylum Cooperative Agreements"
3,"Directly discusses CBP operational guidance for MPP and border inspection procedures.","CBP expedited inspection and secondary inspection policy guidance updates",2,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
3,"Directly discusses secondary inspection and expedited removal by CBP.","CBP expedited inspection and secondary inspection policy guidance updates",3,"DHS deports DACA recipient returning with advance parole"
0,"ORR medical and custody policies are unrelated to CBP inspection guidance.","CBP expedited inspection and secondary inspection policy guidance updates",4,"ORR requires Director-level authorization of custodial releases of certain unaccompanied children"
