relevance,reason,query,rank,title
0,"Unrelated to STEM OPT extensions; discusses undocumented immigrant eligibility and federal benefits verification requirements.","changes to STEM OPT extension rules",3,"HHS issues notice excluding undocumented immigrants from additional federal benefits"
1,"Public charge rules affect extensions of stay and change of status broadly, but not specifically STEM OPT extension policy.","changes to STEM OPT extension rules",4,"USCIS issues final rule on public charge inadmissibility grounds"
0,"EOIR attorney appearance form revisions are unrelated to STEM OPT extension rules.","changes to STEM OPT extension rules",5,"DOJ requests comments on Form EOIR-27, Notice of Entry of Appearance before BIA"
0,"Credible fear interview timing for asylum seekers is unrelated to marriage-based green card interviews.","policy changes affecting marriage based green card interviews",1,"Asylum seekers given less time to prepare for credible fear interviews"
0,"MPP asylum processing changes are unrelated to marriage-based green card interview policies.","policy changes affecting marriage based green card interviews",2,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
1,"Contains marriage-related biographic information requirements, but not policy changes about marriage-based interviews themselves.","policy changes affecting marriage based green card interviews",3,"USCIS proposes changes to Form G-325A, Biographic Information (for Deferred Action)"
0,"Birthright citizenship EO discussion is unrelated to marriage-based green card interview policy.","policy changes affecting marriage based green card interviews",4,"Reports that President will attempt to void birthright citizenship for children of undocumented parents via Executive Order"
1,"TPS termination may indirectly affect green card pathways, but not marriage-based interview procedures.","policy changes affecting marriage based green card interviews",5,"DHS terminates Temporary Protected Status for Honduras"
2,"Directly discusses waiver eligibility, discretionary adjudication, and officer review processes relevant to I-601 adjudications.","changes to I-601 waiver adjudication standards",1,"USCIS updates policy on applying discretion in adjudications"
0,"Asylum standards for domestic violence claims are unrelated to I-601 waiver adjudication.","changes to I-601 waiver adjudication standards",2,"AG Bondi issues Matter of S-S-F-M-, restricting asylum claims based on domestic violence"
1,"Discusses waiver determinations in the travel ban context, but not I-601 adjudication standards specifically.","changes to I-601 waiver adjudication standards",3,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban"
1,"Public charge inadmissibility may intersect with waivers generally, but not specifically I-601 standards.","changes to I-601 waiver adjudication standards",4,"USCIS issues final rule on public charge inadmissibility grounds"
0,"ORR custodial release and background check policies are unrelated to I-601 waiver adjudication.","changes to I-601 waiver adjudication standards",5,"ORR requires Director-level authorization of custodial releases of certain unaccompanied children"
