label,label_reason,query,rank,rrf_score,title,agencies_affected,subject_matter,full_chunk_text
,,h1b visa rule changes,1,0.030579,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban","[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Bureau of Consular Affairs""]","[""Unspecified/Other""]","9645 or 9983 and additional refusal grounds. These applicants are not eligible for the fee exemption, unless a consular ofﬁcer had previously determined that the refusal on other grounds had been overcome and the only impediment to issuance of an IV on January 20, 2021, was due to P.P. 9645 or 9983. My visa application was refused based solely on Presidential Proclamation 9645 or 9983, but my visa application was refused after January 20, 2020. Am I still eligible for the fee exemption? Although this ﬁnal rule does not apply to IV applicants who were refused on or after January 20, 2020, Department regulations at 22 C.F.R. Immigrant Visa Fee Exemption for Applicants Previously Refused under... https://travel.state.gov/content/travel/en/News/visas-news/iv-fee-exempti... 3 of 4 1/31/22, 10:26 AM within the prior year to be reconsidered under 22 C.F.R. 42.81(e) without a new application fee. My DV-2020 application was refused pursuant to Presidential Proclamation 9645 or 9983. Am I exempted from paying a new fee? Generally, U.S. law requires diversity visa (DV) selectees to obtain a DV before the end of the ﬁscal year (i.e. September 30) for which they were selected. For that reason, DV selectees from the 2017, 2018, and 2019 program years are not eligible to make a new application and cannot beneﬁt from this rule. However, the Department of State is aware of a court order in Gomez v. Trump regarding the reservation and adjudication of DV-2020 diversity visas by September 30, 2022. A DV-2020 applicant who was refused solely under Presidential Proclamation 9645 or 9983 may beneﬁt from the fee exception provision discussed here. We will publish additional public guidance regarding the Department’s compliance with the Gomez court order as it becomes available here: https://travel.state.gov/content/travel /en/News/visas-news/diversity-visa-2020-and-2021updates.html. DV applicants from the 2021 program year cannot beneﬁt as they would have been refused after January 20, 2020; the fee exemption only applies to those refused on January 19, 2020, or earlier."
,,h1b visa rule changes,2,0.029643,DOL proposes new collection form for employers seeking to employ H-2B nonimmigrant workers,"[""Unspecified/Other""]","[""Unspecified/Other""]","The Secretary determined that limiting returning workers to those who were issued an H-2B visa or granted H-2B status in the past 3 fiscal years was appropriate, as it mirrored the standard that Congress designated in previous returning worker provisions. Although Congress provided the Secretary of Homeland Security with the discretionary authority to increase the H-2B cap in FY 2020, the Secretary did not exercise that authority. DHS initially intended to exercise its authority and, on March 4, 2020, announced that it would make available 35,000 supplemental H-2B visas for the second half of the fiscal year. On March 13, 2020, President Trump declared a National Emergency concerning COVID-19, a communicable disease caused by the coronavirus SARS-CoV-2. On April 2, 2020, DHS announced that the rule to increase the H-2B cap was on hold due to economic circumstances, and that DHS would not release additional H-2B visas until further notice. DHS also noted that the Department of State had suspended routine visa services. In FY 2021, DHS in consultation with DOL determined it was appropriate to increase the H-2B cap for FY 2021 coupled with additional protections (for example, post-adjudication audits, investigations, and compliance checks), based on the demand for H-2B workers in the second half of FY 2021, continuing economic growth, the improving job market, and increased visa processing capacity by the Department of State. Accordingly, on May 25, 2021, DHS and DOL jointly published a TFR authorizing an increase of up to 22,000 additional H-2B visas for the remainder of FY 2021."
,,h1b visa rule changes,3,0.029274,COVID-19: OFLC announces issuance of electronic PERM labor certifications,"[""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]","Once the new website is launched, the old URLs for webpages and files on https://www.foreignlaborcert.doleta.gov/ will be redirected to the corresponding links at https://www.dol.gov/agencies/eta/foreign-labor-certification. Users with bookmarked webpages or who use a search engine will be seamlessly redirected to the new website location. We encourage users to update their bookmarks and documentation with the new URLs to ensure that they can continue to access information on OFLC's website. Important Note: The migration to the new OFLC website domain will not impact the Foreign Labor Application Gateway (https://flag.dol.gov), Permanent Online Filing (https://www.plc.doleta.gov/), and SeasonalJobs.dol.gov (https://seasonaljobs.dol.gov) websites. Users of these websites should encounter no service disruptions. May 22 May 22, 2020. Final Rule: Rules Concerning Discretionary Review by the Secretary On May 20, 2020, the Office of the Secretary issued a final rule, Rules Concerning Discretionary Review by the Secretary to establish a system of discretionary secretarial review over cases pending before or decided by the Board of Alien Labor Certification Appeals (BALCA) and to make technical changes to regulations governing the timing and finality of decisions of the Administrative Review Board and BALCA. The effective date of the rule is June 19, 2020. The rule also provides that the Secretary will not exercise his new review authority until at least 30 days after the rule goes into effect."
,,h1b visa rule changes,4,0.028992,USCIS issues final rule on public charge inadmissibility grounds,"[""U.S. Citizenship and Immigration Services""]","[""Unspecified/Other"", ""Unspecified/Other""]","Public Charge USCIS is no longer applying the August 2019 Public Charge Final Rule. As a consequence, among other changes, USCIS will apply the public charge inadmissibility statute consistent with the 1999 Interim Field Guidance. In other words, USCIS is not considering an applicant’s receipt of Medicaid (except for long-term institutionalization at the government’s expense), public housing, or Supplemental Nutrition Assistance Program (SNAP) benefits as part of the public charge inadmissibility determination. Background On Nov. 2, 2020, the U.S. District Court for the Northern District of Illinois vacated the Inadmissibility on Public Charge Grounds final rule (84 Fed. Reg. 41,292 (Aug. 14, 2019)), as amended by Inadmissibility on Public Charge Grounds; Correction, 84 Fed. Reg. 52,357 (Oct. 2, 2019) (Public Charge Final Rule) nationwide. That decision was stayed by the U.S. Court of Appeals for the Seventh Circuit. On March 9, 2021, the Seventh Circuit lifted its stay and the U.S. District Court for the Northern District of Illinois’ order vacating the Public Charge Final Rule went into effect. When the vacatur went into effect, USCIS immediately stopped applying the Public Charge Final Rule to all pending applications and petitions that would have been subject to the rule. USCIS continues to apply the public charge inadmissibility statute, including consideration of the statutory minimum factors in the totality of the circumstances, in accordance with the 1999 Interim Field Guidance that was in place before the Public Charge Final Rule was implemented."
,,h1b visa rule changes,5,0.028986,DOL issues interim final rule on Adverse Effect Wage Rate for H-2A agricultural laborers,"[""Unspecified/Other""]","[""Unspecified/Other""]","Case 1:25-cv-01614-KES-CDB Document 1 Filed 11/21/25 Page 43 of 46 44 COMPLAINT 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 143. Second, DOL claims that, since USDA has ceased the FLS survey, there was a regulatory void that required DOL to institute an imminent replacement regulation. But this purported “regulatory void” argument would at most justify a narrow interim final rule that allows DOL to rely on another data source; it does not justify all of the provisions found in the IFR. Indeed, most of the methodological changes in the IFR—e.g., the Skill Level tiers and the housing deduction—are entirely unrelated to the cessation of the FLS, and thus any “regulatory void” would not justify implementing those changes without the use of notice and comment. 144. Since DOL suspended the notice-and-comment requirement without “good cause” for doing so, the agency violated the APA’s requirement to provide additional notice of its proposed rule and an opportunity for public comment, see 5 U.S.C. § 553(b), (c). 145. Absent satisfaction of the “good cause” exception, the IFR is unlawful. 146. The IFR must be vacated because DOL promulgated it without additional notice and comment, and fails to satisfy the “good cause” exemption. PRAYER FOR RELIEF Wherefore, Plaintiffs respectfully seek the following relief: 147. Preliminary and permanent injunctive relief preventing Defendants from implementing or otherwise taking any action to enforce the challenged regulation in the IFR; 148."
,,student visa policy updates,1,0.032787,DOS opens new investigation into Harvard’s use of international visas,"[""Unspecified/Other""]","[""Unspecified/Other""]",The New York Times reports that the Department of State has opened a new investigation into Harvard University’s compliance with the Student and Exchange Visitor Program (SEVP). Secretary of State Marco Rubio informed Harvard of the investigation in a letter. Rubio did not refer to any specific allegation of wrongdoing but claimed that the investigation was necessary “to assist the department in meeting its policy objectives.” Rubio gave Harvard a one-week deadline to produce university records related to the student visa program and stated that the Department of State plans to interview university staff and visa holders. A State Department press release confirmed initiation of the investigation. Trump 2.0 [ID #1877]
,,student visa policy updates,2,0.031010,ORR requires Director-level authorization of custodial releases of certain unaccompanied children,"[""Office of Refugee Resettlement""]","[""Detention"", ""Interior"", ""Minors""]","3.4.1 Health Care Eligibility & General Standards 5/11/15 Posted Date: 1/8/2024; Effective Date: 1/15/2024 - Updates to address Medicaid and CHIP eligibility for classes of children, and the process by which care providers should enroll eligible children for Medicaid and CHIP benefits. 3.4.2 Initial Medical and Dental Examinations and Follow-up Care 1/24/16 1/24/16 - Updates to reflect current practices; no changes to actual services Posted Date: 1/8/2024; Effective Date: 1/15/2024 - Updates to dental policies to align with UC MAP provisions. 3.4.3 Requests for Healthcare Services, including Serious 8/4/21 8/4/2021 — Added reference to the Policy Memorandum: Medical Services Requiring Heightened ORR Involvement. Medical Services Requiring Heightened ORR Involvement Posted Date: 1/8/2024; Effective Date: 1/15/2024 - Updates regarding response times for non-emergency medical concerns from 24-48 hours to conducting triage within two hours and steps for completing te Serious Medical Procedure Request form. 3.4.4 Medication Administration & Management 5/11/15 9/12/15 - Removed requirement that care providers must report all medication errors to ORR. 3.4.5 Responding to Medical Emergencies 5/11/15 8/4/2021 — Added reference to the Policy Memorandum: Medical Services Requiring Heightened ORR Involvement. 08/02/23 - Updated definition of Medical Emergency 3.4.6 Management of Communicable Diseases 5/11/15 Not Applicable 3.4.7 Maintaining Health Care Records & Confidentiality 5/11/15 8/4/2021 — Added reference to the Policy Memorandum: Medical Services Requiring Heightened ORR Involvement."
,,student visa policy updates,3,0.030835,"USCIS provides new edition of Form N-644, Application for Posthumous Citizenship","[""U.S. Citizenship and Immigration Services""]","[""Naturalization""]","12/1/2020 Forms Updates | USCIS https://www.uscis.gov/forms/forms-updates 1/3 Home > Forms > Forms Updates Forms Updates This page lists updates to forms as we publish them, along with a brief explanation of the nature of the update. For forms updates older than five years, see our Archive. Subscribe to get notifications of forms updates: Get Updates by Email Email Address Enter your email address e.g. name@email.com Submit Update to Form I-905, Application for Authorization to Issue Certification for Health Care Workers. New Edition Dated 11/10/20. November 30, 2020 Edition Date: 11/10/20. We will also accept the 10/30/11 and 02/11/14 editions. You can find the edition date at the bottom of the page on the form and instructions. Update to Form N-644, Application for Posthumous Citizenship. New Edition Dated 11/10/20. November 30, 2020 Edition Date: 11/10/20. We will also accept the 08/05/15 edition. You can find the edition date at the bottom of the page on the form and instructions. Search by content Search USCIS Response to Coronavirus 2019 (COVID-19) AILA Doc. No. 20011661. (Posted 12/1/20) 12/1/2020 Forms Updates | USCIS https://www.uscis.gov/forms/forms-updates 2/3 Update to Form I-865, Sponsor's Notice of Change of Address. New Edition Dated 11/10/20. November 30, 2020 Edition Date: 11/10/20. We will also accept the 07/17/15 edition. You can find the edition date at the bottom of the page on the form and instructions. Update to Form I-360, Petition for Amerasian, Widow(er), or Special Immigrant."
,,student visa policy updates,4,0.029710,"State Department Announces Visa Restrictions for Foreign Officials and Others ""Facilitating Illegal Migration""","[""Bureau of Consular Affairs"", ""Unspecified/Other""]","[""Unspecified/Other"", ""Unspecified/Other""]","This visa restriction policy is pursuant to Section 212(a)(3)(C) of the Immigration and Nationality Act, which Home > O!ce of the Spokesperson > Press Releases > Announcement of a Visa Restriction Policy Targeting Foreign O""cials and Others Facilitating Illegal Migration into the United States PRESS STATEMENT MARCO RUBIO, SECRETARY OF STATE MARCH 5, 2025 Announcement of a Visa Restriction Policy Targeting Foreign Officials and Others Facilitating Illegal Migration into the United States An o""cial website of the United States Government Here's how you know      ✉ POLICY ISSUES COUNTRIES & AREAS BUREAUS & OFFICES ABOUT search Newsroom Business Employees Job Seekers Students Travelers Visas White House USA.govO!ce of the Inspector General ArchivesContact Us FOLLOW US Privacy Policy Accessibility Statement Copyright Information FOIA No FEAR Act      ✉ authorizes the Secretary of State to render inadmissible any alien whose entry into the Unites States “would have potentially serious adverse foreign policy consequences for the United States.” Certain family members may also be covered by these restrictions. Bureau of Consular A!airs O""ce of the Spokesperson The Secretary of State TAGS"
,,student visa policy updates,5,0.029643,COVID-19: OFLC announces issuance of electronic PERM labor certifications,"[""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]","August 12, 2020. Department of State Determination on National Interest Exceptions to Presidential Proclamation 10052 as it Relates to H-1B, H-2B, L-1A, L-1B, and Certain J-1 Visa Programs On August 11, 2020, the Assistant Secretary of Consular Affairs for the U.S. Department of State (DOS), in consultation with the Secretaries of Labor and Homeland Security, determined additional types of travel that may qualify for a national interest exception to Presidential Proclamation 10052 for H-1B, H-2B, L-1A, L-1B and certain J-1 visa programs. The announcement regarding this determination can be accessed here. The announcement updates a notice from July 30, 2020, and discusses expanded categories of visa applicants who may qualify for a national interest exception to Presidential Proclamation 10052."
