label,label_reason,query,rank,rrf_score,title,agencies_affected,subject_matter,full_chunk_text
,,TPS designation criteria policy,2,0.032258,ORR requires Director-level authorization of custodial releases of certain unaccompanied children,"[""Office of Refugee Resettlement""]","[""Detention"", ""Interior"", ""Minors""]","1.4.1 Least Restrictive Setting 1/27/15 Not Applicable 1.4.2 30 Day Restrictive Placement Case Review 1/27/15 6/12/17- Clarified use of the Placement Tool, and 30 day review process. Requires Supervisory FFS review of cases in secure placements for over 90 days. Clarified policy on how ORR investigates the veracity of criminal or violent history self-disclosed by a UAC. Revises criteria for stepups and step-downs. Allows for attorneys, LSPs, and child advocates to be given documents related to a UAC’s stepup/step-down without the need to file a case file request. 10/10/18 - Removed references to the FAST tool. Included language to specifically add RTCs to the 30 day restrictive placement review process. 1.4.3 Long Term Care 1/27/15 Not Applicable 1.4.4 Transfer to LongTerm Care 1/27/15 1/12/2024 - Adds instructions for children who are transferring to LTFC. 1.4.5 Group Transfers 1/27/15 4/22/16 - Added emergency event or natural disaster to list of criteria for group transfers. 1.4.6 RTC Placements 1/27/15 10/10/18 - Updated placement criteria for RTCs to specify the child must be a danger to self or others as determined by a licensed psychologist or psychiatrist. 1.4.7 Requesting Reconsideration of a Secure or RTC Placement Designation 6/12/17 Not Applicable 1.4.8 Transfers for Saravia Class Members 2/12/21 1.5 Placement Inquiries 1/27/15 Not Applicable 1.5.1 ORR National Call Center 1/27/15 10/6/23 — Added footnote describing additional functions of the ORR National Call Center as described in Sections 2.2.3, 2.8.4, 6.2.1, and 6.8.6."
,,TPS designation criteria policy,3,0.031498,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes","[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]","101. Currently, Venezuelans who have continuously resided in the United States since July 31, 2024 (including some Venezuelans who received parole through CHNV) are eligible for TPS; approximately 33,600 CHNV parolees from Venezuela have been granted TPS. 102. On January 10, 2025, Secretary of Homeland Security Ali Mayorkas extended TPS for Venezuelans until October 2026, but on January 28, 2025, Secretary Noem purported to vacate that extension and then, on February 1, 2025, Secretary Noem decided to terminate one of the two TPS designations for Venezuelans. Secretary Noem’s February 1 decision was based on her conclusion that the continued presence of the approximately 350,000 Venezuelans with TPS under that designation is contrary to the national interest of the United States. DHS, Termination of the October 3, 2023 Designation of Venezuela for Temporary Protected Status, 90 Fed. Reg. 9040 (Feb. 5, 2025). Secretary Noem’s unprecedented vacatur of the TPS extension for Venezuelans is being separately litigated in multiple cases on the ground (among others) that the TPS statute does not authorize such actions. 103. Currently, Haitians who have continuously resided in the United States since June 3, 2024 (including some Haitians who received parole through CHNV) are eligible for TPS. In June 2024, Secretary Mayorkas extended TPS for Haitians until February 3, 2026, but on February Case 1:25-cv-10495 Document 1 Filed 02/28/25 Page 23 of 65 24 20, 2025, Secretary Noem again acted in an unprecedented fashion by purporting to reduce the time remaining for Haitian TPS by six months, such that it now expires on August 3, 2025."
,,TPS designation criteria policy,4,0.030550,HHS issues notice excluding undocumented immigrants from additional federal benefits,"[""Unspecified/Other""]","[""Unspecified/Other""]","§ 9836(c)(1). Each agency’s Case 2:25-cv-00781-RSM Document 78 Filed 07/15/25 Page 23 of 261 Case 2:25-cv-00781-RSM Document 103 Filed 08/19/25 Page 17 of 122 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 SECOND AMENDED COMPLAINT - 18 A.C.L.U. OF WASHINGTON 2:25-CV-00781-RSM PO BOX 2728 SEATTLE, WA 98111-2728 (206) 624-2184 Head Start program is “designat[ed] . . . for a period of [five] years for the planning, conduct, administration, and evaluation of a Head Start program.” 42 U.S.C. § 9833. 56. Each agency designated a Head Start agency can receive federal funds that cover at least 80 percent of the approved costs of the agency’s Head Start program. 42 U.S.C. § 9835(b). 57. During this five-year period, HHS renews each agency’s grant annually. This annual renewal is referred to as a “continuation grant” or “refunding.” As discussed infra Section I.B, agencies receive consistent updates and communication about the status of their grants from staff who are “Program Specialists” at the OHS. HHS must disburse continuation grants to agencies unless OHS has identified a performance issue that would justify termination. Agencies’ grant renewal deadlines are staggered in different months over the course of the year. 58. After a five-year designation period, agencies that maintain high performance are entitled to another five-year designation. Agencies that trigger performance-related criteria during their five-year designation are placed in the Designation Renewal System (“DRS”) and must compete with other agencies at the end of their designation period for another five-year designation."
,,TPS designation criteria policy,5,0.030536,"EOIR proposes revisions to Form EOIR-31A, Request for Accreditation of Non-Attorney Representative","[""Executive Office for Immigration Review""]","[""Unspecified/Other""]","Page 1 of 6 Form EOIR-31A Rev. Feb. 2020 U.S. Department of Justice Executive Office for Immigration Review Office of Policy Office of Legal Access Programs OMB#1125-0013 Request by Organization for Accreditation or Renewal of Accreditation of Non-Attorney Representative INSTRUCTIONS Purpose of Form Initial Accreditation The Department of Justice (DOJ), through the Executive Office for Immigration Review’s (EOIR) Recognition and Accreditation (R&A) Program, may authorize a non-attorney (“Accredited Representative”) to practice immigration law. Only a DOJ Recognized Organization (or an organization that is concurrently applying for DOJ Recognition on Form EOIR-31) may request accreditation on behalf of its proposed representative(s). At the direction of the Assistant Director for Policy, the Office of Legal Access Programs (OLAP) administers the R&A Program. To apply, the organization must submit this Form EOIR-31A with supporting documentation to OLAP for adjudication by the Assistant Director for Policy (or the Assistant Director for Policy’s delegate). An Accredited Representative must be an employee or volunteer of the organization and satisfy the eligibility criteria found at 8 C.F.R. § 1292.12. If approved, the Accredited Representative will be authorized to represent clients before the Department of Homeland Security (DHS) and, in some cases, EOIR’s immigration courts and Board of Immigration Appeals (BIA). Accreditation is tied to the Recognized Organization that submitted the application, so the Accredited Representative may only provide immigration legal services out of that Recognized Organization’s approved office(s)."
,,immigration fee waiver eligibility policy,1,0.032522,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban","[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Bureau of Consular Affairs""]","[""Unspecified/Other""]","9645 or 9983 and were determined not to qualify for a waiver before January 20, 2020, must submit a new visa application (DS-260) and pay a new visa application processing fee. IV applicants refused due to either P.P. 9645 or 9983 and whose eligibility for a waiver was still being evaluated, or who were determined not to qualify for a waiver within one year of January 20, 2021, and who also request their local embassy or consulate to resume processing on their case within one year of January 20, 2021 may be able to resume processing of their case without submitting a new application or paying a new visa application processing fee. Embassies and consulates will prioritize the adjudication of applications for those Rescission of Presidential Proclamations 9645 and 9983 https://travel.state.gov/content/travel/en/News/visas-news/rescission-... 2 of 3 1/31/21, 12:42 PM (DS-160) and pay a new visa application processing fee if they wish to reapply for a visa. Pursuant to President Biden’s proclamation, the Department can immediately process visa applications for individuals from the affected countries. Please note that the rescission of P.P.s 9645 and 9983 does not necessarily mean that your local U.S. embassy or consulate is able to immediately schedule all affected applicants for visa interviews. The resumption of routine visa services during the ongoing COVID-19 pandemic, prioritized after services to U.S. citizens, will occur on a post-by-post basis, consistent with the Department’s guidance for safely returning our workforce to Department facilities. U.S."
,,immigration fee waiver eligibility policy,2,0.031514,USCIS allows processing of H-2A petitions for unnamed beneficiaries prior to labor certification approval,[],[],"Answer all questions fully and accurately. If a question does not apply to you (for example, if you have never been married and the question asks, “Provide the name of your current spouse”), type or print “N/A” unless otherwise directed. If your answer to a question which requires a numeric response is zero or none (for example, “How many children do you have” or “How many times have you departed the United States”), type or print “None” unless otherwise directed. Reduced Fees For Small Employers and Non-Profits You may qualify for a reduced fee on this form and the associated asylum program fee if you: 1. Have 25 or fewer full-time equivalent employees in the United States, including any affiliates and subsidiaries; or Form I-129H2A Instructions 09/17/25 Page 3 of 12 • Reduced fee for form and asylum program fee. • Possible evidence to support eligibility for the reduced fees includes a copy of the petitioner’s most recent IRS Form 941, Employer’s Quarterly Federal Return or IRS Form 943, Employer’s Annual Tax Return for Agricultural Workers. 2. Are a not-for-profit primary or secondary educational institution, or institution of higher education, as defined in section 101(a) of the Higher Education Act of 1965, 20 U.S.C. 1001(a); tax exempt organization under the Internal Revenue Code of 1986, section 501(c)(3), 26 U.S.C. 501(c)(3); or a governmental research organization as defined under 8 CFR 214.2(h)(19)(iii)(C). • Reduced fee for form and no asylum program fee. • Possible evidence to support eligibility for the reduced fees includes the organization’s Determination Letter from the IRS or copy of a currently valid IRS tax exemption certificate."
,,immigration fee waiver eligibility policy,3,0.030798,"USCIS proposes changes to Form G-325A, Biographic Information (for Deferred Action)","[""U.S. Citizenship and Immigration Services""]","[""Unspecified/Other""]","Supporting evidence is not required, but USCIS will accept and review any documentation submitted. You do not need to include other household members’ financial information to establish economic necessity. NOTE: You are also required to provide the applicable filing fee when requesting employment authorization, with the exception of those requesting employment authorization based on a grant of SIJ deferred action. A request for employment authorization for those with SIJ deferred action is fee exempt. Requesting employment authorization upon a grant of deferred action using the Form G-325A is an alternative to submitting a separate Form I-765, Application for Employment Authorization, under the (c)(14) employment authorization category and subject to the General Filing fee category. If you would like to submit a fee waiver request for the employment authorization, you may file Form I-912, Request for Fee Waiver, with this application. Instructions are available at: www.uscis.gov/i-912. Failure to submit the appropriate fee or a fee waiver request could result in USCIS denying your request for employment authorization. Part 4. Social Security Card If you select “Yes” in Part 3. Employment Authorization, Item Number 1., you must complete Item Numbers 1. – 3. You must have a Social Security Number (SSN) properly assigned in your name to work in the United States. However, you are not 7 required to request a social security card using this request. If you want a Social Security Card, follow the instructions below."
,,immigration fee waiver eligibility policy,4,0.030777,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban","[""Bureau of Consular Affairs""]","[""Visitor"", ""Unspecified/Other""]","2. Resumption of Visa Processing and Clearing the Backlog of Cases in Waiver Processing. (a) The Secretary of State shall direct all Embassies and Consulates, consistent with applicable law and visa processing procedures, including any related to coronavirus disease 2019 (COVID-19), to resume visa processing in a manner consistent with the revocation of the Executive Order and Proclamations speciﬁed in section 1 of this proclamation. (b) Within 45 days of the date of this proclamation, the Secretary of State shall provide to the President a report that includes the following elements: (i) The number of visa applicants who were being considered for a waiver of restrictions under Proclamation 9645 or 9983 on the date of this proclamation and a plan for expeditiously adjudicating their pending visa applications. (ii) A proposal to ensure that individuals whose immigrant visa applications were denied on the basis of the suspension and restriction on entry imposed by Proclamation 9645 or 9983 may have their applications reconsidered. This proposal shall consider whether to reopen immigrant visa applications that were denied due to the suspension and restriction on entry imposed by Proclamation 9645 or 9983, whether it is necessary to charge an additional fee to process those visa applications, and development of a plan for the Department of State to expedite consideration of those visa applications. (iii) A plan to ensure that visa applicants are not prejudiced as a result of a previous visa denial due to the suspension and restriction on entry imposed by Proclamation 9645 or 9983 if they choose to re-apply for a visa."
,,immigration fee waiver eligibility policy,5,0.030478,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes","[""Customs and Border Protection"", ""U.S. Citizenship and Immigration Services"", ""Unspecified/Other""]","[""Unspecified/Other""]","DHS retains its discretion to commence enforcement action against any alien at any time, including during the 30-day waiting period created by this notice. Id. at 13618.6 The FRN stated that terminating the CHNV programs and existing grants of parole under CHNV was consistent with the President’s executive orders, including Executive Order 14165. See id. at 13611. According to the FRN, the CHNV programs “do not serve a significant public benefit, are not necessary to reduce levels of illegal immigration, did not sufficiently mitigate the domestic effects of illegal immigration, are not serving their intended purposes, and are inconsistent with the Administration’s foreign policy goals.” Id. at 13612.7 The FRN further that “a parolee remains an applicant for admission during the period of parole in the United States.” Termination of Parole Processes for Cubans, Haitians, Nicaraguans, and Venezuelans, 90 Fed. Reg. 13611, 13618 (Mar. 25, 2025). 6 The FRN further stated that “DHS intends to prioritize for removal those who (1) have not, prior to the publication of this notice, properly filed an immigration benefit request, with appropriate fee (or fee waiver request, if available) to obtain a lawful basis to remain in the United States (e.g., adjustment of status, asylum, Temporary Protected Status, or T or U nonimmigrant status) and (2) are not the beneficiary of an immigration benefit request properly filed by someone else on their behalf (e.g., petition for alien relative, fiancé petition, petition for immigrant employee), with appropriate fee (or fee waiver request, if available).” Id."
,,adjustment of status eligibility rules,1,0.032787,EOIR issues guidance on adjustment of status eligibility for certain Liberians under the NDAA,"[""Unspecified/Other"", ""Executive Office for Immigration Review""]","[""Unspecified/Other""]","Although it is a novel provision of immigration law to direct the Secretary to cancel an order issued by an immigration judge or the Board and further guidance on the precise implementation of that section may be forthcoming, immigration judges and the Board should expeditiously adjudicate any joint motions to reopen such orders filed by an alien and DHS following the approval of an application under NDAA § 7611. III. Aliens Currently in Exclusion, Deportation, or Removal Proceedings At the immigration court level, non-detained3 cases involving aliens currently in proceedings who (1) have established prima facie eligibility for adjustment of status pursuant to NDAA §§ 761 l(b)(l)-(3) and (c)(l)-(2), (2) have submitted an application to DHS for such adjustment of status and provided proof of such submission, (3) have no other pending applications before the immigration judge, other than an alternative request for voluntary departure, and (4) have appropriately been granted a continuance by an immigration judge to await the adjudication of that application should be placed on a status docket, if the relevant court utilizes one, consistent with PM 19-3, Use of Status Dockets (Aug. 16, 2019). An alien's eligibility for adjustment of status under the provisions of the NDAA ""shall not preclude the alien from seeking a..'ly status under any other ·provision of law for which the alien may otherwise be eligible."" Id. § 761 l(i)(2). Thus, for aliens currently in proceedings who have other applications for status ( e.g."
