relevance,reason,query,rank,title
1,Discusses immigrant visa refusals and travel ban exemptions rather than H-1B rule changes,h1b visa rule changes,1,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
1,Discusses H-2B visa caps and labor certification policy rather than H-1B regulatory changes,h1b visa rule changes,2,DOL proposes new collection form for employers seeking to employ H-2B nonimmigrant workers
1,Touches labor certification processing and BALCA review procedures but not substantive H-1B rule changes,h1b visa rule changes,3,COVID-19: OFLC announces issuance of electronic PERM labor certifications
0,Public charge inadmissibility policy is unrelated to H-1B visa rule changes,h1b visa rule changes,4,USCIS issues final rule on public charge inadmissibility grounds
1,Concerns H-2A wage regulations rather than H-1B visa policy,h1b visa rule changes,5,DOL issues interim final rule on Adverse Effect Wage Rate for H-2A agricultural laborers
2,Directly concerns student visa oversight and SEVP compliance investigations,student visa policy updates,1,DOS opens new investigation into Harvard’s use of international visas
0,Focuses on unaccompanied children and ORR release procedures rather than student visas,student visa policy updates,2,ORR requires Director-level authorization of custodial releases of certain unaccompanied children
0,Form updates for posthumous citizenship are unrelated to student visa policy,student visa policy updates,3,"USCIS provides new edition of Form N-644, Application for Posthumous Citizenship"
1,Concerns visa restrictions and inadmissibility broadly but not student visa policy specifically,student visa policy updates,4,"State Department Announces Visa Restrictions for Foreign Officials and Others ""Facilitating Illegal Migration"""
1,References J-1 visa exceptions during COVID but is not focused on student visa policy updates,student visa policy updates,5,COVID-19: OFLC announces issuance of electronic PERM labor certifications
3,Directly addresses USCIS processing time calculations including N-400 naturalization applications,naturalization processing delays policy,1,USCIS redesigns processing times webpage and tests new way of calculating processing times
1,Mentions naturalization adjudication delays in military service context but not broader processing delay policy,naturalization processing delays policy,2,Reports that U.S. Army is discharging immigrant recruits
0,Asylum credible fear interview timing is unrelated to naturalization processing delays,naturalization processing delays policy,3,Asylum seekers given less time to prepare for credible fear interviews
2,Directly concerns administration of naturalization oath ceremonies but not processing delays themselves,naturalization processing delays policy,4,EOIR Acting Deputy Director rescinds prior guidance on naturalization oath ceremonies
0,Continuance guidance in immigration court is unrelated to naturalization processing delays,naturalization processing delays policy,5,EOIR Director issues guidance to restrict continuances
1,Directly concerns visa lottery fees rather than USCIS fee rule changes broadly,USCIS fee rule changes,1,DOS implements $1 fee for Diversity Visa Lottery
0,Public charge inadmissibility standards are unrelated to USCIS fee rule changes,USCIS fee rule changes,2,USCIS issues final rule on public charge inadmissibility grounds
1,Includes discussion of immigrant visa fee exemptions but is centered on travel bans rather than USCIS fee rules,USCIS fee rule changes,3,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
2,Discusses USCIS discretionary adjudications and filing fees for employment authorization applications,USCIS fee rule changes,4,USCIS updates policy on applying discretion in adjudications
3,Directly discusses fee requirements and fee waivers tied to immigration benefit applications,USCIS fee rule changes,5,"USCIS proposes changes to Form G-325A, Biographic Information (for Deferred Action)"
3,Directly changes Diversity Visa Lottery fee requirements and application costs,diversity visa lottery policy changes,1,DOS implements $1 fee for Diversity Visa Lottery
2,Substantively discusses diversity visa applicants and vetting restrictions under the travel ban,diversity visa lottery policy changes,2,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
0,HHS grant and DEI policy disputes are unrelated to diversity visa lottery policy,diversity visa lottery policy changes,3,HHS issues notice excluding undocumented immigrants from additional federal benefits
0,MPP asylum enforcement policy is unrelated to diversity visa lottery changes,diversity visa lottery policy changes,4,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
1,Mentions proposals to eliminate the diversity visa lottery within broader immigration reform discussions,diversity visa lottery policy changes,5,President Trump proposes cutting funding to E-Verify program
2,Directly concerns employment authorization verification requirements affecting access to work authorization benefits,employment authorization document renewal rules,1,DOL issues guidance requiring work-authorization verification for Employment and Training Administration (ETA) grant programs
3,Directly changes automatic extension periods for Employment Authorization Documents renewal processing,employment authorization document renewal rules,2,DHS Ends Automatic Extension of Employment Authorization Documents
0,EOIR accreditation procedures for nonprofit representatives are unrelated to EAD renewal rules,employment authorization document renewal rules,3,"EOIR proposes revisions to Form EOIR-31A, Request for Accreditation of Non-Attorney Representative"
1,Discusses employment authorization verification through E-Verify but not EAD renewal policy specifically,employment authorization document renewal rules,4,"DOJ sues Illinois over ""Right to Privacy in the Workplace Act"" amendments"
2,Directly affects revocation timing of parole-based employment authorization documents,employment authorization document renewal rules,5,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
3,Directly concerns termination and restructuring of categorical parole programs,advance parole policy changes,1,"EO 14165 § 7(b) directs termination of ""categorical parole programs"" including CHNV Parole Processes"
3,Directly analyzes legal treatment and consequences of advance parole reentry,advance parole policy changes,2,DHS deports DACA recipient returning with advance parole
0,Background check procedures for unaccompanied children are unrelated to advance parole policy,advance parole policy changes,3,ORR requires Director-level authorization of custodial releases of certain unaccompanied children
0,MPP asylum return procedures are unrelated to advance parole policy changes,advance parole policy changes,4,"EO 14165 § 6 directs DHS, DOS, and DOJ to resume the Migrant Protection Protocols"
2,Substantively discusses discretionary review standards for advance permission to enter and humanitarian parole,advance parole policy changes,5,USCIS updates policy on applying discretion in adjudications
2,Directly addresses resumption of visa processing during COVID-related suspensions and backlog clearance,consular processing suspension COVID policy,1,"POTUS issues Presidential Proclamation, removing Chad from Travel Ban"
2,Discusses reopening visa adjudications and backlog processing in the context of COVID-era restrictions,consular processing suspension COVID policy,2,"POTUS issues Presidential Proclamation 9983, adding six new countries to Travel Ban"
2,Directly concerns resumption of consular visa processing following travel and COVID-related restrictions,consular processing suspension COVID policy,3,"POTUS issues EO 13780, extending travel ban and instructing agencies to enhance screening of certain foreign nationals"
0,Refugee funding suspension policy is unrelated to consular processing suspension during COVID,consular processing suspension COVID policy,4,State Department orders resettlement agencies to stop funded work supporting refugees currently in the U.S.
